data_id,data_venda
1,2024-01-01
2,2024-01-02
3,2024-01-03
4,2024-01-04
5,2024-01-05
6,2024-01-06
7,2024-01-07
8,2024-01-08
9,2024-01-09
10,2024-01-10
11,2024-01-11
12,2024-01-12
13,2024-01-13
14,2024-01-14
15,2024-01-15
16,2024-01-16
17,2024-01-17
18,2024-01-18
19,2024-01-19
20,2024-01-20
21,2024-01-21
22,2024-01-22
23,2024-01-23
24,2024-01-24
25,2024-01-25
26,2024-01-26
27,2024-01-27
28,2024-01-28
29,2024-01-29
30,2024-01-30
31,2024-01-31
32,2024-02-01
33,2024-02-02
34,2024-02-03
35,2024-02-04
36,2024-02-05
37,2024-02-06
38,2024-02-07
39,2024-02-08
40,2024-02-09
41,2024-02-10
42,2024-02-11
43,2024-02-12
44,2024-02-13
45,2024-02-14
46,2024-02-15
47,2024-02-16
48,2024-02-17
49,2024-02-18
50,2024-02-19
51,2024-02-20
52,2024-02-21
53,2024-02-22
54,2024-02-23
55,2024-02-24
56,2024-02-25
57,2024-02-26
58,2024-02-27
59,2024-02-28
60,2024-02-29
